Article Number,Name of the Offer,Card name,Card language,condition,auction date,number of bids,final bid,currency,shipping fee,seller,items sold by seller,images,local path,auction type,url
334227711949,Pokemon Defender 1.Edition PSA 10 Base set deutsch 1999 german 1st Edition #80,,,Gebraucht,2021-11-28 20:29:00,10,47.5,EUR,4.99,cladrau_0,8,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/47,50/Pokemon Defender 1.Edition PSA 10 Base set deutsch 1999 german 1st Edition #80",Auction,https://www.ebay.de/itm/334227711949?hash=item4dd18627cd:g:1nAAAOSwBbdhmhnc
334227712768,Pokemon Magnetilo 1.Edition PSA 10 Base set deutsch 1999 1st Edition #53 german,Magnemite,German,Gebraucht,2021-11-28 20:30:00,13,64.0,EUR,4.99,cladrau_0,8,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Magnemite/German/64,00/Pokemon Magnetilo 1.Edition PSA 10 Base set deutsch 1999 1st Edition #53 german",Auction,https://www.ebay.de/itm/334227712768?hash=item4dd1862b00:g:9zIAAOSw6S9hmhYp
334227713499,Pokemon Supertrank 1.Edition PSA 10 Base set deutsch 1999 german 1st Edition #90,,,Gebraucht,2021-11-28 20:31:00,9,47.5,EUR,4.99,cladrau_0,8,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/47,50/Pokemon Supertrank 1.Edition PSA 10 Base set deutsch 1999 german 1st Edition #90",Auction,https://www.ebay.de/itm/334227713499?hash=item4dd1862ddb:g:JzQAAOSwnANhmhsM
334227714780,Pokemon Sandan 1.Edition PSA 10 Base set deutsch 1999 german 1st Edition #62,Sandshrew,German,Gebraucht,2021-11-28 20:32:00,15,63.0,EUR,4.99,cladrau_0,8,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Sandshrew/German/63,00/Pokemon Sandan 1.Edition PSA 10 Base set deutsch 1999 german 1st Edition #62",Auction,https://www.ebay.de/itm/334227714780?hash=item4dd18632dc:g:iuoAAOSwPuZhmhcT
334227715512,Pokemon Tausch 1.Edition PSA 10 Base set deutsch 1999 german 1st Edition #95,,,Gebraucht,2021-11-28 20:33:00,10,48.0,EUR,4.99,cladrau_0,8,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/48,00/Pokemon Tausch 1.Edition PSA 10 Base set deutsch 1999 german 1st Edition #95",Auction,https://www.ebay.de/itm/334227715512?hash=item4dd18635b8:g:M6MAAOSwTNNhmhvV
334227716289,Pokemon Sterndu 1.Edition PSA 10 Base set deutsch 1999 german 1st Edition #65,Staryu,German,Gebraucht,2021-11-28 20:34:00,10,62.0,EUR,4.99,cladrau_0,8,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Staryu/German/62,00/Pokemon Sterndu 1.Edition PSA 10 Base set deutsch 1999 german 1st Edition #65",Auction,https://www.ebay.de/itm/334227716289?hash=item4dd18638c1:g:IhUAAOSwAzdhmhfg
334227716877,Pokemon Didga 1.Edition PSA 10 Base set deutsch 1999 german 1st Edition #47,,,Gebraucht,2021-11-28 20:35:00,12,65.0,EUR,4.99,cladrau_0,8,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/65,00/Pokemon Didga 1.Edition PSA 10 Base set deutsch 1999 german 1st Edition #47",Auction,https://www.ebay.de/itm/334227716877?hash=item4dd1863b0d:g:q1cAAOSw01VhmhYJ
294553021200,PSA 10 1 Edition Computersuche Pokémon Basis Set 71/102 Deutsch Rare 1999 GEM MT,,,Gebraucht,2021-11-28 20:36:00,5,52.0,EUR,Kostenloser Versand,baseset,2552,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/52,00/PSA 10 1 Edition Computersuche Pokémon Basis Set 71/102 Deutsch Rare 1999 GEM MT",Auction,https://www.ebay.de/itm/294553021200?hash=item4494ba6b10:g:ex0AAOSwY5penIpW
294553021168,PSA 10 1st Edition Dragonir 18/102 1999 Pokemon 1 German Base Set Deutsch,Dragonair,German,Gebraucht,2021-11-28 20:38:00,40,321.0,EUR,Kostenloser Versand,baseset,2552,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Dragonair/German/321,00/PSA 10 1st Edition Dragonir 18/102 1999 Pokemon 1 German Base Set Deutsch",Auction,https://www.ebay.de/itm/294553021168?hash=item4494ba6af0:g:awUAAOSwmn5gs5uP
265425067577,POKEMON BASE KARTE TRAUMATO 1.EDITION 49/102/1999  PSA 10,Drowzee,German,Gebraucht,2021-11-28 20:50:00,8,72.0,EUR,8.49,dane662,76,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Drowzee/German/72,00/POKEMON BASE KARTE TRAUMATO 1.EDITION 49/102/1999  PSA 10",Auction,https://www.ebay.de/itm/265425067577?hash=item3dcc911e39:g:SA8AAOSw9PlhomM2
265425077161,POKEMON BASE KARTE POKEMON-ZÜCHTER 1.EDITION 76/102/1999  PSA 10,,,Gebraucht,2021-11-28 21:00:00,14,71.0,EUR,8.49,dane662,76,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/71,00/POKEMON BASE KARTE POKEMON-ZÜCHTER 1.EDITION 76/102/1999  PSA 10",Auction,https://www.ebay.de/itm/265425077161?hash=item3dcc9143a9:g:BgsAAOSwsxBhomdS
144295165467,Smogon 51/102 1st Edition Base Set 1999 PSA 10 Pokemonkarte DE,Koffing,German,,2021-11-28 22:38:00,,99.99,EUR,Kostenloser Versand,rainbowenergy_tcg,434,[],,Sofort-Kaufen,https://www.ebay.de/itm/144295165467?hash=item2198a97e1b:g:4E8AAOSwIuNhlYEa
144295175594,Dragonir 18/102 1st Edition Base Set 1999 PSA 10 Pokemonkarte DE,Dragonair,German,,2021-11-28 22:38:00,,399.99,EUR,Kostenloser Versand,rainbowenergy_tcg,434,[],,Sofort-Kaufen,https://www.ebay.de/itm/144295175594?hash=item2198a9a5aa:g:wkIAAOSwkDJhlYVv
174675964289,Nidoking Evolutions 45/108 Psa 10 Gem Mint Eng Low Population Base Set Reprint,Nidoking,English,Gebraucht,2021-11-29 13:35:00,,299.0,EUR,11,scognit2014,235,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Nidoking/English/299,00/Nidoking Evolutions 45/108 Psa 10 Gem Mint Eng Low Population Base Set Reprint",Sofort-Kaufen,https://www.ebay.de/itm/174675964289?hash=item28ab7fb181:g:5GgAAOSw4UVgSOVW
324908773887,"Pokemon Karte Vulpix, 1. Edition, PSA 10 in Deutsch, Gem Mint, Base Set",,,Gebraucht,2021-11-29 17:03:00,,125.0,EUR,3.75,bolellifan,93,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/125,00/Pokemon Karte Vulpix, 1. Edition, PSA 10 in Deutsch, Gem Mint, Base Set",Sofort-Kaufen,https://www.ebay.de/itm/324908773887?hash=item4ba61271ff:g:5xsAAOSw80phFhYg
284528821114,Pokemon Base Basis Set Arkani 1st Edition - PSA 10 GEM MINT - Pokémon,Arcanine,German,Gebraucht,2021-11-29 21:07:00,,167.5,EUR,3.75,niklas-k,352,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Arcanine/German/167,50/Pokemon Base Basis Set Arkani 1st Edition - PSA 10 GEM MINT - Pokémon",Preisvorschlag akzeptiert,https://www.ebay.de/itm/284528821114?hash=item423f3d437a:g:AUsAAOSw9pRhRc~0
115105539764,PSA 10 1st Edition Porygon 39/102 1999 Pokemon Base Set Versand aus D CH,Porygon,English,Gebraucht,2021-11-30 08:47:00,,159.0,EUR,Kostenloser Versand,5142gr,413,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Porygon/English/159,00/PSA 10 1st Edition Porygon 39/102 1999 Pokemon Base Set Versand aus D CH",Preisvorschlag akzeptiert,https://www.ebay.de/itm/115105539764?hash=item1accd326b4:g:mQkAAOSwvBhhmoKJ
133942074460,Pokemon Pikachu Special Delivery SWSH074 Sealed Centrato No Charizard PSA 10,Pikachu,English,Brandneu,2021-11-30 18:31:00,,199.0,EUR,10,arse141091,75,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Pikachu/English/199,00/Pokemon Pikachu Special Delivery SWSH074 Sealed Centrato No Charizard PSA 10",Preisvorschlag akzeptiert,https://www.ebay.de/itm/133942074460?hash=item1f2f91dc5c:g:riIAAOSwmBVhJhJ7
265425115799,POKEMON BASE KARTE GORE 1.EDITION 75 /102/1999  PSA 10,,,Gebraucht,2021-11-30 21:28:00,13,76.0,EUR,8.49,dane662,76,[],"cards/ebay/PSA 10s/None/None/76,00/POKEMON BASE KARTE GORE 1.EDITION 75 /102/1999  PSA 10",Auction,https://www.ebay.de/itm/265425115799?hash=item3dcc91da97:g:ZZ8AAOSw81dhomuR
393685066957,Pokemon Base Set 1st Edition Italian Bgs9 Super Strong Venusaur 15/102 (psa10?),Venusaur,English,Gebraucht,2021-11-30 21:43:00,,2500.0,EUR,1,alessper-86,45,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Venusaur/English/2.500,00/Pokemon Base Set 1st Edition Italian Bgs9 Super Strong Venusaur 15/102 (psa10?)",Preisvorschlag akzeptiert,https://www.ebay.de/itm/393685066957?hash=item5ba97564cd:g:TsoAAOSwnmlhiFSw
353789513839,PSA 10 - 1999 Pokemon PSYCHIC ENERGY 101/102 - Base Set,,,Gebraucht,2021-01-12 07:46:00,,59.99,EUR,4.99,vispri-21,183,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/59,99/PSA 10 - 1999 Pokemon PSYCHIC ENERGY 101/102 - Base Set",Preisvorschlag akzeptiert,https://www.ebay.de/itm/353789513839?hash=item525f7f906f:g:Bg4AAOSw3g9hm9G3
144295181421,Glutexo 24/102 1st Edition Base Set 1999 PSA 10 Pokemonkarte DE,Charmeleon,German,,2021-01-12 19:27:00,,299.99,EUR,Kostenloser Versand,rainbowenergy_tcg,434,[],,Sofort-Kaufen,https://www.ebay.de/itm/144295181421?hash=item2198a9bc6d:g:u~8AAOSwICZhlYfj
255254765045,"Pokemon Karte, Bisasam, 44/102, Base, 1. Edition, PSA 10",,,Gebraucht,2021-01-12 20:25:00,1,260.0,EUR,3.5,tob_1990_ias,110,[],,Auction,https://www.ebay.de/itm/255254765045?hash=item3b6e5e9df5:g:kgEAAOSwWMFhl8ds
115105542485,PSA 10 1st Edition Kadabra 32/102 1999 Pokemon Base Set Versand aus D CH,Kadabra,English,Gebraucht,2021-02-12 20:21:00,,299.0,EUR,Kostenloser Versand,5142gr,413,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Kadabra/English/299,00/PSA 10 1st Edition Kadabra 32/102 1999 Pokemon Base Set Versand aus D CH",Preisvorschlag akzeptiert,https://www.ebay.de/itm/115105542485?hash=item1accd33155:g:j4YAAOSw1P9hmoNb
265432895664,POKEMON BASE KARTE DIGDA 1.EDITION 47/102/1999  PSA 10,Diglett,German,Gebraucht,2021-03-12 20:50:00,17,71.0,EUR,8.49,dane662,76,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Diglett/German/71,00/POKEMON BASE KARTE DIGDA 1.EDITION 47/102/1999  PSA 10",Auction,https://www.ebay.de/itm/265432895664?hash=item3dcd0890b0:g:Ai8AAOSwShdhqPNH
265432888848,POKEMON BASE KARTE PORENTA 1.EDITION 27/102/1999  PSA 10,Farfetch'd,German,Gebraucht,2021-03-12 21:04:00,14,77.0,EUR,8.49,dane662,76,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Farfetch'd/German/77,00/POKEMON BASE KARTE PORENTA 1.EDITION 27/102/1999  PSA 10",Auction,https://www.ebay.de/itm/265432888848?hash=item3dcd087610:g:VxsAAOSwjW5hqPFd
304246327231,Pokémon PSA 10 Snorlax Gem Mint Sword And Shield Base Full Art Relaxo,Snorlax,English,Gebraucht,2021-03-12 22:54:00,,84.99,EUR,4.99,lucmaure1,215,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Snorlax/English/84,99/Pokémon PSA 10 Snorlax Gem Mint Sword And Shield Base Full Art Relaxo",Sofort-Kaufen,https://www.ebay.de/itm/304246327231?hash=item46d67e87bf:g:YnYAAOSwddxhpoib
353789701889,PSA 10 1st Edition Turtok Booster Base Set 1999 Pokemon 1 Blastoise WOTC,Blastoise,German,Gebraucht,2021-04-12 22:57:00,39,605.0,EUR,2.7,nicohrld,29,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Blastoise/German/605,00/PSA 10 1st Edition Turtok Booster Base Set 1999 Pokemon 1 Blastoise WOTC",Auction,https://www.ebay.de/itm/353789701889?hash=item525f826f01:g:hcEAAOSwNbNhoMIL
373808112987,Vulpix 1999 Pokemon Base Set 1. Edition PSA 10,Vulpix,English,,2021-05-12 14:20:00,14,111.11,EUR,4.99,robinho411,292,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Vulpix/English/111,11/Vulpix 1999 Pokemon Base Set 1. Edition PSA 10",Auction,https://www.ebay.de/itm/373808112987?hash=item5708b3255b:g:YfgAAOSw9hlhe~Uc
373808113440,Arkani 1999 Pokemon Base Set 1. Edition PSA 10 #2,Arcanine,German,,2021-05-12 14:21:00,31,96.0,EUR,4.99,robinho411,292,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Arcanine/German/96,00/Arkani 1999 Pokemon Base Set 1. Edition PSA 10 #2",Auction,https://www.ebay.de/itm/373808113440?hash=item5708b32720:g:iyYAAOSwjRJhe~My
373808114341,Arkani 1999 Pokemon Base Set 1. Edition PSA 10 #4,Arcanine,German,,2021-05-12 14:23:00,31,120.0,EUR,4.99,robinho411,292,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Arcanine/German/120,00/Arkani 1999 Pokemon Base Set 1. Edition PSA 10 #4",Auction,https://www.ebay.de/itm/373808114341?hash=item5708b32aa5:g:qL0AAOSwtldhe~OT
373808115290,Schillok 1999 Pokemon Base Set 1. Edition PSA 10 #1,Wartortle,German,,2021-05-12 14:25:00,20,159.0,EUR,4.99,robinho411,292,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Wartortle/German/159,00/Schillok 1999 Pokemon Base Set 1. Edition PSA 10 #1",Auction,https://www.ebay.de/itm/373808115290?hash=item5708b32e5a:g:AbwAAOSwFwBhe~CN
373808115759,Arkani 1999 Pokemon Base Set 1. Edition PSA 10 #3,Arcanine,German,,2021-05-12 14:26:00,44,126.0,EUR,4.99,robinho411,292,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Arcanine/German/126,00/Arkani 1999 Pokemon Base Set 1. Edition PSA 10 #3",Auction,https://www.ebay.de/itm/373808115759?hash=item5708b3302f:g:uEcAAOSwHC9he~Nf
373808116151,Bisaknosp 1999 Pokemon Base Set 1. Edition PSA 10,Ivysaur,German,,2021-05-12 14:27:00,16,161.0,EUR,4.99,robinho411,292,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Ivysaur/German/161,00/Bisaknosp 1999 Pokemon Base Set 1. Edition PSA 10",Auction,https://www.ebay.de/itm/373808116151?hash=item5708b331b7:g:HaUAAOSwbpFhe~Jl
373808116389,Schillok 1999 Pokemon Base Set 1. Edition PSA 10 #2,Wartortle,German,,2021-05-12 14:28:00,29,159.69,EUR,4.99,robinho411,292,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Wartortle/German/159,69/Schillok 1999 Pokemon Base Set 1. Edition PSA 10 #2",Auction,https://www.ebay.de/itm/373808116389?hash=item5708b332a5:g:PzYAAOSw5Lxhe~Da
115060356877,GEM MINT! Kokuna 1st 1 Edition 33/102 Base Basis Set Pokémon Mint PSA 10 DE,Kakuna,German,Gebraucht,2021-05-12 15:39:00,,119.99,EUR,4.99,legendary_cardstore,1081,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Kakuna/German/119,99/GEM MINT! Kokuna 1st 1 Edition 33/102 Base Basis Set Pokémon Mint PSA 10 DE",Sofort-Kaufen,https://www.ebay.de/itm/115060356877?hash=item1aca21b70d:g:~R8AAOSwit9hdCkA
393740192833,Pokemon Karte PSA 10 Deutsch Base Set Arkani 1 Edition,Arcanine,German,Gebraucht,2021-05-12 18:13:00,16,102.02,EUR,4.99,phiri_41,366,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Arcanine/German/102,02/Pokemon Karte PSA 10 Deutsch Base Set Arkani 1 Edition",Auction,https://www.ebay.de/itm/393740192833?hash=item5bacbe8c41:g:90YAAOSwO15ho7go
393740250361,Pokemon PSA Booster Blastoise Base Set Spanisch PSA 10,Blastoise,English,Gebraucht,2021-05-12 18:34:00,27,203.0,EUR,4.99,phiri_41,366,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Blastoise/English/203,00/Pokemon PSA Booster Blastoise Base Set Spanisch PSA 10",Auction,https://www.ebay.de/itm/393740250361?hash=item5bacbf6cf9:g:ZjAAAOSwGOlho7z9
265426565600,Pokemon Bisasam Base Set 1.Edition PSA 10 Mint,Bulbasaur,German,Gebraucht,2021-05-12 18:37:00,1,249.99,EUR,3.79,stoisecollectibles,274,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Bulbasaur/German/249,99/Pokemon Bisasam Base Set 1.Edition PSA 10 Mint",Auction,https://www.ebay.de/itm/265426565600?hash=item3dcca7f9e0:g:jf4AAOSwgHdho74P
363637794640,Zamazenta V GOLD 212 / 202 Secret rare Sword and Shield base PSA 10 GEM MINT,,,Gebraucht,2021-05-12 19:45:00,31,106.0,EUR,Kostenloser Versand,pulse1991,60,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/106,00/Zamazenta V GOLD 212 / 202 Secret rare Sword and Shield base PSA 10 GEM MINT",Auction,https://www.ebay.de/itm/363637794640?hash=item54aa806750:g:vZAAAOSwv9dhfRhL
275041323924,Abra 1. Edition | Base Set | PSA 10 Gem Mint | deutsch | Pokemon Karte,Abra,English,,2021-05-12 19:48:00,23,93.94,EUR,Kostenloser Versand,card-foundry,3053,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Abra/English/93,94/Abra 1. Edition | Base Set | PSA 10 Gem Mint | deutsch | Pokemon Karte",Auction,https://www.ebay.de/itm/275041323924?hash=item4009bd8b94:g:2kMAAOSwWzlhn9pP
403323563822,Pokemon Karte Beedrill Bibor 21/130 Base Set 2 Englisch PSA 10,Beedrill,English,Gebraucht,2021-05-12 20:28:00,14,37.5,EUR,4.99,jemmint-shop,569,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Beedrill/English/37,50/Pokemon Karte Beedrill Bibor 21/130 Base Set 2 Englisch PSA 10",Auction,https://www.ebay.de/itm/403323563822?hash=item5de7f52f2e:g:P6MAAOSwXExho65I
115117098590,PSA 10 1st Edition Fukano 28/102 1999 Pokemon Base Set Versand aus D CH,Growlithe,German,Gebraucht,2021-05-12 20:32:00,19,84.49,EUR,Kostenloser Versand,5142gr,413,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Growlithe/German/84,49/PSA 10 1st Edition Fukano 28/102 1999 Pokemon Base Set Versand aus D CH",Auction,https://www.ebay.de/itm/115117098590?hash=item1acd83865e:g:zmUAAOSwV~xhmoSK
115117099107,PSA 10 1st Edition Rossana 31/102 1999 Pokemon Base Set Versand aus D CH,Jynx,German,Gebraucht,2021-05-12 20:33:00,11,95.2,EUR,Kostenloser Versand,5142gr,413,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Jynx/German/95,20/PSA 10 1st Edition Rossana 31/102 1999 Pokemon Base Set Versand aus D CH",Auction,https://www.ebay.de/itm/115117099107?hash=item1acd838863:g:MPsAAOSwnCJhmoQo
115117099742,PSA 10 1st Edition Schillok 42/102 1999 Pokemon Base Set Versand aus D CH,Wartortle,German,Gebraucht,2021-05-12 20:33:00,23,151.0,EUR,Kostenloser Versand,5142gr,413,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Wartortle/German/151,00/PSA 10 1st Edition Schillok 42/102 1999 Pokemon Base Set Versand aus D CH",Auction,https://www.ebay.de/itm/115117099742?hash=item1acd838ade:g:O9EAAOSwmDFhmoGR
115117100279,PSA 10 1st Edition Nidoran 55/102 1999 Pokemon Base Set Versand aus D CH,,,Gebraucht,2021-05-12 20:34:00,18,74.51,EUR,Kostenloser Versand,5142gr,413,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/None/None/74,51/PSA 10 1st Edition Nidoran 55/102 1999 Pokemon Base Set Versand aus D CH",Auction,https://www.ebay.de/itm/115117100279?hash=item1acd838cf7:g:OO4AAOSwmDFhmn~Y
294579517142,3x 1999 Pokemon German Fukano 1st Edition Base Set 28/102 PSA 10 Gem Mint 1 Lot,Growlithe,German,Gebraucht,2021-05-12 21:35:00,44,243.0,EUR,Kostenloser Versand,baseset,2552,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Growlithe/German/243,00/3x 1999 Pokemon German Fukano 1st Edition Base Set 28/102 PSA 10 Gem Mint 1 Lot",Auction,https://www.ebay.de/itm/294579517142?hash=item44964eb6d6:g:Av4AAOSws9Bhn7CU
294579528026,3x 1999 Pokemon German Quaputzi 1st Edition Base Set 38/102 PSA 10 Gem Mint Lot,Poliwhirl,German,Gebraucht,2021-05-12 21:46:00,23,251.0,EUR,Kostenloser Versand,baseset,2552,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Poliwhirl/German/251,00/3x 1999 Pokemon German Quaputzi 1st Edition Base Set 38/102 PSA 10 Gem Mint Lot",Auction,https://www.ebay.de/itm/294579528026?hash=item44964ee15a:g:v-YAAOSwqOdhn7Fu
294579552825,1999 Pokemon German Glumanda 1st Edition Base Set 46/102 PSA 10 Gem Mint 1,Charmander,German,Gebraucht,2021-05-12 22:19:00,37,302.0,EUR,Kostenloser Versand,baseset,2552,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Charmander/German/302,00/1999 Pokemon German Glumanda 1st Edition Base Set 46/102 PSA 10 Gem Mint 1",Auction,https://www.ebay.de/itm/294579552825?hash=item44964f4239:g:Oc4AAOSwm6dhn7QO
403321997686,Squirtle 63/102 Base Set Shadowless PSA 10,Squirtle,English,Brandneu,2021-05-12 22:25:00,,280.0,EUR,12,sbastielantier_0,16,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Squirtle/English/280,00/Squirtle 63/102 Base Set Shadowless PSA 10",Sofort-Kaufen,https://www.ebay.de/itm/403321997686?hash=item5de7dd4976:g:BZsAAOSwfF9hXMqz
294579553373,1999 Pokemon German Glumanda 1st Edition Base Set 46/102 PSA 10 Gem Mint 1,Charmander,German,Gebraucht,2021-05-12 22:25:00,31,271.0,EUR,Kostenloser Versand,baseset,2552,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Charmander/German/271,00/1999 Pokemon German Glumanda 1st Edition Base Set 46/102 PSA 10 Gem Mint 1",Auction,https://www.ebay.de/itm/294579553373?hash=item44964f445d:g:p58AAOSwlUhhn7Si
294579554875,1999 Pokemon German Glutexo 1st Edition Base Set 24/102 PSA 10 Gem Mint 1,Charmeleon,German,Gebraucht,2021-05-12 22:28:00,37,223.0,EUR,Kostenloser Versand,baseset,2552,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Charmeleon/German/223,00/1999 Pokemon German Glutexo 1st Edition Base Set 24/102 PSA 10 Gem Mint 1",Auction,https://www.ebay.de/itm/294579554875?hash=item44964f4a3b:g:PVUAAOSwTehhn7Ts
294579555708,1999 Pokemon German Schiggy 1st Edition Base Set 63/102 PSA 10 Gem Mint 1,Squirtle,German,Gebraucht,2021-05-12 22:32:00,34,301.0,EUR,Kostenloser Versand,baseset,2552,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Squirtle/German/301,00/1999 Pokemon German Schiggy 1st Edition Base Set 63/102 PSA 10 Gem Mint 1",Auction,https://www.ebay.de/itm/294579555708?hash=item44964f4d7c:g:~SYAAOSw2FZhn7VD
384570252445,charizard 1 edizione Shadowless PSA 10,Charizard,English,Gebraucht,2021-06-12 13:21:00,1,1000.0,EUR,30,fedecari18,15,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Charizard/English/1.000,00/charizard 1 edizione Shadowless PSA 10",Auction,https://www.ebay.de/itm/384570252445?hash=item598a2c5c9d:g:Uw4AAOSw9ElhrWMg
403286277038,✅ PSA 10 GEM MINT & 1. Edition Jurob 41/102 Base Set 1999 Pokemon Karte,Seel,German,Gebraucht,2021-08-12 15:11:00,,119.99,EUR,5.99,chillkroete93,168,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Seel/German/119,99/✅ PSA 10 GEM MINT & 1. Edition Jurob 41/102 Base Set 1999 Pokemon Karte",Sofort-Kaufen,https://www.ebay.de/itm/403286277038?hash=item5de5bc3bae:g:VFsAAOSwqWFhipac
234316419396,Pokemon Card - Raichu Set Base 14/102 Holo Card - PSA 10/9 MINT 1999-2000,Raichu,English,Gebraucht,2021-08-12 23:16:00,1,79.0,EUR,10,e-tecstore,66,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Raichu/English/79,00/Pokemon Card - Raichu Set Base 14/102 Holo Card - PSA 10/9 MINT 1999-2000",Auction,https://www.ebay.de/itm/234316419396?hash=item368e58d144:g:RxYAAOSwiU9hq54z
384486344510,Pokemon Base Set Chaneira Deutsch 1. Edition Beckett 9 Mint / PSA 10,Chansey,German,Gebraucht,2021-08-12 23:18:00,,399.0,EUR,Kostenloser Versand,cubuk-0,241,['https://ir.ebaystatic.com/pictures/aw/pics/de/s.gif'],"cards/ebay/PSA 10s/Chansey/German/399,00/Pokemon Base Set Chaneira Deutsch 1. Edition Beckett 9 Mint / PSA 10",Sofort-Kaufen,https://www.ebay.de/itm/384486344510?hash=item59852c073e:g:7PwAAOSwayNhho8b
